TITLE,FROM/COMPOSER,URL,CLAIM
Into the Unknown,Frozen 2,,"Wonderland Music Company, Inc. (BMI)"
Kiss the Girl,The Little Mermaid,,"Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)"
Let it Go,Frozen,,"Wonderland Music Company, Inc. (BMI)"
Lost in the Woods,Frozen 2,,"Wonderland Music Company, Inc. (BMI)"
Love is an Open Door,Frozen,,"Wonderland Music Company, Inc. (BMI)"
Married Life,Up,,Walt Disney Music Company (ASCAP)/ Pixar Talking Pictures (ASCAP)
Never Knew I Needed,The Princess and the Frog,,Walt Disney Music Company (ASCAP)
One Jump Ahead,Aladdin/Alan Menken,,"Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)"
Part of Your World,The Little Mermaid,,"Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)"
Pirates Of the Caribbean,Pirates of the Caribbean/Jarod Radnich,,"Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)"
Poor Unfortunate Souls,The Little Mermaid,,"Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)"
Prince Ali,Aladdin/Alan Menken,,"Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)"
Reflection,Mulan,,Walt Disney Music Company (ASCAP)
Remember Me,Coco,,"Wonderland Music Company, Inc. (BMI) / Pixar Music (BMI)"
See the Light,Tangled,,"Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)"
Show Yourself,Frozen 2,,"Wonderland Music Company, Inc. (BMI)"
Someday,The Hunchback of Notre Dame,,"Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)"
Speechless,Aladdin/Alan Menken,,"Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)"
Stick to the Status Quo,High School Musical,,"Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)"
Strangers Like Me,Tarzan,,Walt Disney Music Company (ASCAP)
Try Everything,Zootopia,,Walt Disney Music Company (ASCAP)
Two Worlds,Tarzan,,Walt Disney Music Company (ASCAP)
Un Poco Loco,Coco,,Walt Disney Music Company (ASCAP) / Pixar Talking Pictures (ASCAP)
Under the Sea,The Little Mermaid,,"Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)"
What I've Been Looking For,High School Musical,,"Walt Disney Music Company (ASCAP)/ Wonderland Music Company, Inc. (BMI)"
When I Am Older,Frozen 2,,"Wonderland Music Company, Inc. (BMI)"
You'll Be in My Heart,Tarzan,,Walt Disney Music Company (ASCAP)
You're Welcome,Moana,,Walt Disney Music Company (ASCAP)
You've Got a Friend in Me,Toy Story/Newman,,Walt Disney Music Company (ASCAP)
